,index,URL,Root Domain,Keyword,searched,Inbound Links
72,72,https://www.chase.com/home-equity,chase.com,-site:chase.com link:https://www.chase.com/home-equity,1.0,177000.0
73,73,https://www.chase.com/home-equity/home-equity-calculator,chase.com,-site:chase.com link:https://www.chase.com/home-equity/home-equity-calculator,1.0,251000.0
74,74,https://www.chase.com/home-equity/home-equity-line-of-credit-calculator,chase.com,-site:chase.com link:https://www.chase.com/home-equity/home-equity-line-of-credit-calculator,1.0,23700.0
75,75,https://www.chase.com/mortgage,chase.com,-site:chase.com link:https://www.chase.com/mortgage,1.0,352000.0
76,76,https://www.chase.com/mortgage/home-loans/types-of-mortgages,chase.com,-site:chase.com link:https://www.chase.com/mortgage/home-loans/types-of-mortgages,1.0,83300.0
77,77,https://www.chase.com/mortgage/mortgage-rates,chase.com,-site:chase.com link:https://www.chase.com/mortgage/mortgage-rates,1.0,262000.0
78,78,https://www.chase.com/mortgage/mortgage-refinance,chase.com,-site:chase.com link:https://www.chase.com/mortgage/mortgage-refinance,1.0,95700.0
79,79,https://www.chase.com/mortgage/mortgage-resources,chase.com,-site:chase.com link:https://www.chase.com/mortgage/mortgage-resources,1.0,177000.0
80,80,https://www.chase.com/mortgage/mortgage-resources/affordability-calculator,chase.com,-site:chase.com link:https://www.chase.com/mortgage/mortgage-resources/affordability-calculator,1.0,61400.0
81,81,https://www.chase.com/mortgage/mortgage-resources/mortgage-refinance-calculator,chase.com,-site:chase.com link:https://www.chase.com/mortgage/mortgage-resources/mortgage-refinance-calculator,1.0,55600.0
82,82,https://www.chase.com/mortgage/refinance,chase.com,-site:chase.com link:https://www.chase.com/mortgage/refinance,1.0,151000.0
83,83,https://www.chase.com/mortgage/refinance-rates,chase.com,-site:chase.com link:https://www.chase.com/mortgage/refinance-rates,1.0,139000.0
84,84,https://www.chase.com/services/col-loanapp-rtbl,chase.com,-site:chase.com link:https://www.chase.com/services/col-loanapp-rtbl,1.0,0.0
85,85,https://www.citizensbank.com/loans/why-apply-online.aspx,citizensbank.com,-site:citizensbank.com link:https://www.citizensbank.com/loans/why-apply-online.aspx,1.0,902.0
86,86,https://www.lendingclub.com/,lendingclub.com,-site:lendingclub.com link:https://www.lendingclub.com/,1.0,118000.0
87,87,https://www.lendingclub.com/public/borrower-rates-and-fees.action,lendingclub.com,-site:lendingclub.com link:https://www.lendingclub.com/public/borrower-rates-and-fees.action,1.0,2000.0
88,88,https://www.lendingclub.com/public/debt-consolidation-loans.action,lendingclub.com,-site:lendingclub.com link:https://www.lendingclub.com/public/debt-consolidation-loans.action,1.0,1070.0
89,89,https://www.lendingclub.com/public/personal-loans.action,lendingclub.com,-site:lendingclub.com link:https://www.lendingclub.com/public/personal-loans.action,1.0,4140.0
90,90,https://www.lightstream.com/land-purchase,lightstream.com,-site:lightstream.com link:https://www.lightstream.com/land-purchase,1.0,4110.0
91,91,https://www.santanderbank.com/us/business/borrowing/small-business-borrowing/small-business-line-of-credit,santanderbank.com,-site:santanderbank.com link:https://www.santanderbank.com/us/business/borrowing/small-business-borrowing/small-business-line-of-credit,1.0,2820.0
92,92,https://www.santanderbank.com/us/personal/borrowing/lines-credit/personal-line-credit,santanderbank.com,-site:santanderbank.com link:https://www.santanderbank.com/us/personal/borrowing/lines-credit/personal-line-credit,1.0,650.0
93,93,https://www.santanderbank.com/us/personal/borrowing/loans/personal-loans,santanderbank.com,-site:santanderbank.com link:https://www.santanderbank.com/us/personal/borrowing/loans/personal-loans,1.0,1790.0
94,94,https://www.santanderbank.com/us/personal/borrowing/loans/savings-secured-loan,santanderbank.com,-site:santanderbank.com link:https://www.santanderbank.com/us/personal/borrowing/loans/savings-secured-loan,1.0,731.0
95,95,https://www.santanderbank.com/us/personal/borrowing/mortgages/fixed-rate-mortgage,santanderbank.com,-site:santanderbank.com link:https://www.santanderbank.com/us/personal/borrowing/mortgages/fixed-rate-mortgage,1.0,1100.0
96,96,https://www.us.hsbc.com/1/2/home/personal-banking/mortgages,us.hsbc.com,-site:us.hsbc.com link:https://www.us.hsbc.com/1/2/home/personal-banking/mortgages,1.0,8590.0
97,97,https://www.wellsfargo.com/mortgage/apply/,wellsfargo.com,-site:wellsfargo.com link:https://www.wellsfargo.com/mortgage/apply/,1.0,87800.0
98,98,https://www.wellsfargo.com/mortgage/buying-a-house/buying-a-vacation-home/,wellsfargo.com,-site:wellsfargo.com link:https://www.wellsfargo.com/mortgage/buying-a-house/buying-a-vacation-home/,1.0,47700
99,99,https://www.wellsfargo.com/mortgage/home-loans/,wellsfargo.com,-site:wellsfargo.com link:https://www.wellsfargo.com/mortgage/home-loans/,1.0,202000
100,100,https://www.wellsfargo.com/mortgage/private-mortgage-banking/,wellsfargo.com,-site:wellsfargo.com link:https://www.wellsfargo.com/mortgage/private-mortgage-banking/,1.0,62600
101,101,https://www.wellsfargo.com/personal-credit/products/,wellsfargo.com,-site:wellsfargo.com link:https://www.wellsfargo.com/personal-credit/products/,1.0,84000
